spearman_cosine	pearson_cosine	spearman_dot	pearson_dot	umap_time	spearman_pearson_time	load_model_time	encode_time	umap_param	model_name
0.03484229855939001	0.030275640712468077	0.03096733454242115	0.03574591920416883	14.206292390823364	7.084795951843262	1.1418468952178955	92.62573981285095	{'n_components': 2, 'n_neighbors': 2}	distiluse-base-multilingual-cased-v2
0.06349262260589374	0.04833542876657926	0.03268919583898232	0.03727558966427515	9.565637588500977	3.836409330368042	1.1418468952178955	92.62573981285095	{'n_components': 2, 'n_neighbors': 4}	distiluse-base-multilingual-cased-v2
0.13079884738311956	0.0507880828531156	0.021092799638779542	0.021995487487926603	7.589429140090942	7.099485874176025	1.1418468952178955	92.62573981285095	{'n_components': 2, 'n_neighbors': 8}	distiluse-base-multilingual-cased-v2
0.14510701347725016	0.06025572392650415	0.033765886811410475	0.03561074728678748	10.42237663269043	3.850111722946167	1.1418468952178955	92.62573981285095	{'n_components': 2, 'n_neighbors': 16}	distiluse-base-multilingual-cased-v2
0.1382613686785789	0.08504102660116089	-0.014867449896845913	-0.012364975732319004	12.079277992248535	3.558738946914673	1.1418468952178955	92.62573981285095	{'n_components': 2, 'n_neighbors': 32}	distiluse-base-multilingual-cased-v2
0.13274671526979057	0.08885974485689274	-0.04561003747119889	-0.046766399880893275	9.797019004821777	5.788339853286743	1.1418468952178955	92.62573981285095	{'n_components': 2, 'n_neighbors': 64}	distiluse-base-multilingual-cased-v2
0.08246086618597684	0.07330393191951837	0.06312991617925443	0.0666578450797697	8.275845527648926	5.666437864303589	1.1418468952178955	92.62573981285095	{'n_components': 3, 'n_neighbors': 2}	distiluse-base-multilingual-cased-v2
0.0668092529348944	0.04447717970008501	0.022339440673431285	0.05079093895948742	7.881196975708008	3.21855092048645	1.1418468952178955	92.62573981285095	{'n_components': 3, 'n_neighbors': 4}	distiluse-base-multilingual-cased-v2
0.15615707677159912	0.051226324572048905	0.04824361950349251	0.0423560507182439	9.329438924789429	4.382861137390137	1.1418468952178955	92.62573981285095	{'n_components': 3, 'n_neighbors': 8}	distiluse-base-multilingual-cased-v2
0.15617333554655044	0.06595391133827729	-0.008593823804607	0.005085704712009779	8.51816725730896	3.3999669551849365	1.1418468952178955	92.62573981285095	{'n_components': 3, 'n_neighbors': 16}	distiluse-base-multilingual-cased-v2
0.15306230753329314	0.0999729778841346	-0.039641786661753414	-0.03441079275378591	11.25245714187622	3.1246750354766846	1.1418468952178955	92.62573981285095	{'n_components': 3, 'n_neighbors': 32}	distiluse-base-multilingual-cased-v2
0.16819807598846603	0.12860113554711816	-0.021002037645454216	-0.012222394087110651	9.55196237564087	4.736950874328613	1.1418468952178955	92.62573981285095	{'n_components': 3, 'n_neighbors': 64}	distiluse-base-multilingual-cased-v2
0.09420542994267486	0.08332557374254926	0.061776520535730454	0.06957468306103336	9.14505910873413	3.988861560821533	1.1418468952178955	92.62573981285095	{'n_components': 4, 'n_neighbors': 2}	distiluse-base-multilingual-cased-v2
0.0915060967545717	0.0719444832147424	0.024623495791832508	0.04974591171936049	7.813809871673584	5.4681432247161865	1.1418468952178955	92.62573981285095	{'n_components': 4, 'n_neighbors': 4}	distiluse-base-multilingual-cased-v2
0.16373537274909603	0.053505954831471664	0.07769933510306357	0.06693692609076544	8.737296104431152	3.1270039081573486	1.1418468952178955	92.62573981285095	{'n_components': 4, 'n_neighbors': 8}	distiluse-base-multilingual-cased-v2
0.16360841841533316	0.04654582653105832	-0.013021065534182303	-0.0011281379650885485	8.194974660873413	4.603858947753906	1.1418468952178955	92.62573981285095	{'n_components': 4, 'n_neighbors': 16}	distiluse-base-multilingual-cased-v2
0.16805179454877842	0.12051031441491446	-0.039969745302703016	-0.04893843959100405	9.114042282104492	3.0466275215148926	1.1418468952178955	92.62573981285095	{'n_components': 4, 'n_neighbors': 32}	distiluse-base-multilingual-cased-v2
0.17248799726163114	0.14110543274746346	-0.03611812750682209	-0.051791003514181595	9.081136465072632	6.6497721672058105	1.1418468952178955	92.62573981285095	{'n_components': 4, 'n_neighbors': 64}	distiluse-base-multilingual-cased-v2
0.09766522886486877	0.09013084083825987	0.05564241686857415	0.06860741274822373	9.212791204452515	3.8152616024017334	1.1418468952178955	92.62573981285095	{'n_components': 5, 'n_neighbors': 2}	distiluse-base-multilingual-cased-v2
0.095946803653337	0.0807551099259596	0.02294860507537897	0.05050366261574795	9.294420957565308	6.792848348617554	1.1418468952178955	92.62573981285095	{'n_components': 5, 'n_neighbors': 4}	distiluse-base-multilingual-cased-v2
0.16173800944173425	0.0547312744689897	0.028831438972627885	0.027053141199649546	10.116589784622192	5.165728569030762	1.1418468952178955	92.62573981285095	{'n_components': 5, 'n_neighbors': 8}	distiluse-base-multilingual-cased-v2
0.1696224399932396	0.06052312204640589	-0.03740805811418903	-0.03656010007201006	10.974803686141968	3.680129051208496	1.1418468952178955	92.62573981285095	{'n_components': 5, 'n_neighbors': 16}	distiluse-base-multilingual-cased-v2
0.1743629304945333	0.1326581850762107	0.025267976497160893	0.03789486841784175	13.055798530578613	3.4169986248016357	1.1418468952178955	92.62573981285095	{'n_components': 5, 'n_neighbors': 32}	distiluse-base-multilingual-cased-v2
0.17534118028321188	0.14559873155441194	-0.02224927345989585	-0.020516662238142615	11.125234127044678	5.1661975383758545	1.1418468952178955	92.62573981285095	{'n_components': 5, 'n_neighbors': 64}	distiluse-base-multilingual-cased-v2
