HSCodeNo,HSCode2,HSCode4,HSCode6,HSCode8,HSCode11,endescriptions,thdescriptions,HSYear,endescriptions2,thdescriptions2,endescriptions4,thdescriptions4,endescriptions6,thdescriptions6,endescriptions8,thdescriptions8,endescriptions11,thdescriptions11,HSCodeEnDescriptions2,HSCodeTHDescriptions2,HSCodeEnDescriptions4,HSCodeTHDescriptions4,HSCodeEnDescriptions6,HSCodeTHDescriptions6,HSCodeEnDescriptions8,HSCodeTHDescriptions8,HSCodeEnDescriptions11,HSCodeTHDescriptions11
25829,09,0905,090520,09052000,09052000000,Crushed or ground                                                                                                                                                                                                                                               ,บดหรือป่น                                                                                                                                                                                                                                                     ,2022,"Coffee, tea, mate' and spices",กาแฟ ชา ชามาเต้ และเครื่องเทศ,Vanilla.,วานิลา,Crushed or ground                                                                                                                                                                                                                                               ,บดหรือป่น                                                                                                                                                                                                                                                     ,Crushed or ground                                                                                                                                                                                                                                               ,บดหรือป่น                                                                                                                                                                                                                                                     ,Crushed or ground                                                                                                                                                                                                                                               ,บดหรือป่น                                                                                                                                                                                                                                                     ,"09:Coffee, tea, mate' and spices",09:กาแฟ ชา ชามาเต้ และเครื่องเทศ,0905:Vanilla.,0905:วานิลา,090520:Crushed or ground                                                                                                                                                                                                                                               ,090520:บดหรือป่น                                                                                                                                                                                                                                                     ,09052000:Crushed or ground                                                                                                                                                                                                                                               ,09052000:บดหรือป่น                                                                                                                                                                                                                                                     ,09052000000:Crushed or ground                                                                                                                                                                                                                                               ,09052000000:บดหรือป่น                                                                                                                                                                                                                                                     
32828,29,2903,290379,29037900,29037900302,OTHER DERIVALIVES OF METHANE ETHANE OR PROPANE HALOGENATED ONLY WITH FLUORINE AND BROMINE                                                                                                                                                                       ,อนุพันธ์อื่น ๆ ชนิดฮาโลเจเนเต็ดของมีเทน อีเทน หรือโพรเพน ที่มีฟลูออรีน และโบรมีนเท่านั้น                                                                                                                                                                      ,2022,Organic chemicals ,เคมีภัณฑ์อินทรีย์,Halogenated derivatives of hydrocarbons.,อนุพันธ์ชนิดฮาโลเจเนเต็ดของไฮโดรคาร์บอน,Other,อื่น ๆ,Other,อื่น ๆ,OTHER DERIVALIVES OF METHANE ETHANE OR PROPANE HALOGENATED ONLY WITH FLUORINE AND BROMINE                                                                                                                                                                       ,อนุพันธ์อื่น ๆ ชนิดฮาโลเจเนเต็ดของมีเทน อีเทน หรือโพรเพน ที่มีฟลูออรีน และโบรมีนเท่านั้น                                                                                                                                                                      ,29:Organic chemicals ,29:เคมีภัณฑ์อินทรีย์,2903:Halogenated derivatives of hydrocarbons.,2903:อนุพันธ์ชนิดฮาโลเจเนเต็ดของไฮโดรคาร์บอน,290379:Other,290379:อื่น ๆ,29037900:Other,29037900:อื่น ๆ,29037900302:OTHER DERIVALIVES OF METHANE ETHANE OR PROPANE HALOGENATED ONLY WITH FLUORINE AND BROMINE                                                                                                                                                                       ,29037900302:อนุพันธ์อื่น ๆ ชนิดฮาโลเจเนเต็ดของมีเทน อีเทน หรือโพรเพน ที่มีฟลูออรีน และโบรมีนเท่านั้น                                                                                                                                                                      
54641,62,6209,620930,62093040,62093040000,Clothing accessories                                                                                                                                                                                                                                            ,ของที่ใช้ประกอบเครื่องแต่งกาย                                                                                                                                                                                                                                 ,2022,Articles of apparel and clothing accessories not knitted or crochted,เครื่องแต่งกายและของที่ใช้ประกอบกับเครื่องแต่งกายที่ไม่ได้ถักแบบนิตหรือแบบโครเชต์,Babies’ garments and clothing accessories.,เสื้อผ้าและของที่ใช้ประกอบกับเครื่องแต่งกายของเด็กเล็ก,Of synthetic fibres:,ทาด้วยเส้นใยสังเคราะห์,Clothing accessories                                                                                                                                                                                                                                            ,ของที่ใช้ประกอบเครื่องแต่งกาย                                                                                                                                                                                                                                 ,Clothing accessories                                                                                                                                                                                                                                            ,ของที่ใช้ประกอบเครื่องแต่งกาย                                                                                                                                                                                                                                 ,62:Articles of apparel and clothing accessories not knitted or crochted,62:เครื่องแต่งกายและของที่ใช้ประกอบกับเครื่องแต่งกายที่ไม่ได้ถักแบบนิตหรือแบบโครเชต์,6209:Babies’ garments and clothing accessories.,6209:เสื้อผ้าและของที่ใช้ประกอบกับเครื่องแต่งกายของเด็กเล็ก,620930:Of synthetic fibres:,620930:ทาด้วยเส้นใยสังเคราะห์,62093040:Clothing accessories                                                                                                                                                                                                                                            ,62093040:ของที่ใช้ประกอบเครื่องแต่งกาย                                                                                                                                                                                                                                 ,62093040000:Clothing accessories                                                                                                                                                                                                                                            ,62093040000:ของที่ใช้ประกอบเครื่องแต่งกาย                                                                                                                                                                                                                                 
63378,73,7308,730820,73082029,73082029001,"For steel towers used for installation of high voltage electric wires, not less than 66,000 volts                                                                                                                                                               ","เฉพาะเสาโครงเหล็ก (สตีลทาวเวอร์) สำหรับติดตั้งสายส่งไฟฟ้าแรงสูงตั้งแต่ 66,000 โวลต์ขึ้นไป                                                                                                                                                                     ",2022,Iron or steel,ของทำด้วยเหล็กหรือเหล็กกล้ำ,"Structures (excluding prefabricated buildings of heading no. 94.06) and parts of structures (e.g. : bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frame-works, doors and windows and their frames and threshold for doors, sh",สิ่งก่อสร้าง (ไม่รวมถึงอาคารสำเร็จรูปตามประเภทที่ 94.06)และส่วนประกอบของสิ่งก่อสร้าง (เช่น สะพานและส่วนของสะพาน ประตูน้ำ หอคอย เสาที่มีโครงประสานกัน หลังคา โครงหลังคา ประตูหน้าต่าง กรอบของประตูหน้าต่าง และธรณีประตู บานเลื่อน ลูกกรง เสาแบบพิลลาร์และคอลัมน,"Towers and lattice masts, of iron or steel",หอคอยและเสาที่มีโครงประสานกัน ทำด้วยเหล็กหรือเหล็กกล้า,Other,อื่นๆ,"For steel towers used for installation of high voltage electric wires, not less than 66,000 volts                                                                                                                                                               ","เฉพาะเสาโครงเหล็ก (สตีลทาวเวอร์) สำหรับติดตั้งสายส่งไฟฟ้าแรงสูงตั้งแต่ 66,000 โวลต์ขึ้นไป                                                                                                                                                                     ",73:Iron or steel,73:ของทำด้วยเหล็กหรือเหล็กกล้ำ,"7308:Structures (excluding prefabricated buildings of heading no. 94.06) and parts of structures (e.g. : bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frame-works, doors and windows and their frames and threshold for doors, sh",7308:สิ่งก่อสร้าง (ไม่รวมถึงอาคารสำเร็จรูปตามประเภทที่ 94.06)และส่วนประกอบของสิ่งก่อสร้าง (เช่น สะพานและส่วนของสะพาน ประตูน้ำ หอคอย เสาที่มีโครงประสานกัน หลังคา โครงหลังคา ประตูหน้าต่าง กรอบของประตูหน้าต่าง และธรณีประตู บานเลื่อน ลูกกรง เสาแบบพิลลาร์และคอลัมน,"730820:Towers and lattice masts, of iron or steel",730820:หอคอยและเสาที่มีโครงประสานกัน ทำด้วยเหล็กหรือเหล็กกล้า,73082029:Other,73082029:อื่นๆ,"73082029001:For steel towers used for installation of high voltage electric wires, not less than 66,000 volts                                                                                                                                                               ","73082029001:เฉพาะเสาโครงเหล็ก (สตีลทาวเวอร์) สำหรับติดตั้งสายส่งไฟฟ้าแรงสูงตั้งแต่ 66,000 โวลต์ขึ้นไป                                                                                                                                                                     "
72723,85,8518,851821,85182110,85182110000,Box speaker type                                                                                                                                                                                                                                                ,ลำโพงแบบกล่อง                                                                                                                                                                                                                                                 ,2022,"Machinery, electrical appliances And components thereof, television recording and reproducing apparatus and components, and assemblies therefor",เครื่องจักร เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบของเครื่องดังกล่าวเครื่องบันทึกและเครื่องถอดภาพและเสียงทางโทรทัศน์รวมทั้งส่วนประกอบและอุปกรณ์ประกอบของเครื่องดังกล่าว,"Microphones and stands therefor; loudspeakers, whether or not mounted in their enclosures; headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers; audio-frequency electric ampl",ไมโครโฟนและขาตั้งไมโครโฟน ลำโพงจะติดตั้งในตู้ลำโพงหรือไม่ก็ตาม หูฟังชนิดครอบหัวและหูฟังชนิดเสียบหูจะประกอบรวมกับไมโครโฟนหรือไม่ก็ตาม และชุดที่ประกอบด้วยไมโครโฟนหนึ่งตัวและลำโพงตั้งแต่หนึ่งตัวขึ้นไป เครื่องขยายสัญญาณไฟฟ้าในช่วงความถี่สัญญาณเสียง ชุดเครื่อง,"Single loudspeakers, mounted in their enclosures, and ckd thereof",ลำโพงเดี่ยวติดตั้งในตู้ลำโพง  และชิ้นส่วนครบชุดสมบูรณ์ของของดังกล่าว,Box speaker type                                                                                                                                                                                                                                                ,ลำโพงแบบกล่อง                                                                                                                                                                                                                                                 ,Box speaker type                                                                                                                                                                                                                                                ,ลำโพงแบบกล่อง                                                                                                                                                                                                                                                 ,"85:Machinery, electrical appliances And components thereof, television recording and reproducing apparatus and components, and assemblies therefor",85:เครื่องจักร เครื่องอุปกรณ์ไฟฟ้า และส่วนประกอบของเครื่องดังกล่าวเครื่องบันทึกและเครื่องถอดภาพและเสียงทางโทรทัศน์รวมทั้งส่วนประกอบและอุปกรณ์ประกอบของเครื่องดังกล่าว,"8518:Microphones and stands therefor; loudspeakers, whether or not mounted in their enclosures; headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers; audio-frequency electric ampl",8518:ไมโครโฟนและขาตั้งไมโครโฟน ลำโพงจะติดตั้งในตู้ลำโพงหรือไม่ก็ตาม หูฟังชนิดครอบหัวและหูฟังชนิดเสียบหูจะประกอบรวมกับไมโครโฟนหรือไม่ก็ตาม และชุดที่ประกอบด้วยไมโครโฟนหนึ่งตัวและลำโพงตั้งแต่หนึ่งตัวขึ้นไป เครื่องขยายสัญญาณไฟฟ้าในช่วงความถี่สัญญาณเสียง ชุดเครื่อง,"851821:Single loudspeakers, mounted in their enclosures, and ckd thereof",851821:ลำโพงเดี่ยวติดตั้งในตู้ลำโพง  และชิ้นส่วนครบชุดสมบูรณ์ของของดังกล่าว,85182110:Box speaker type                                                                                                                                                                                                                                                ,85182110:ลำโพงแบบกล่อง                                                                                                                                                                                                                                                 ,85182110000:Box speaker type                                                                                                                                                                                                                                                ,85182110000:ลำโพงแบบกล่อง                                                                                                                                                                                                                                                 
57051,72,7207,720712,72071290,72071290030,Containing by weight more than 0.10% but not more than 0.18% of carbon                                                                                                                                                                                          ,มีคาร์บอนมากกว่าร้อยละ 0.10 แต่ไม่เกินร้อยละ 0.18 โดยน้ำหนัก                                                                                                                                                                                                  ,2022,Iron and steel,เหล็กและเหล็กกล้า,Semi-finished products of iron or non-alloy steel.,ผลิตภัณฑ์กึ่งสำเร็จรูป ทำด้วยเหล็กหรือเหล็กกล้าไม่เจือ,"Semi-finished products of iron or non-alloy steel, of rectangular (other than square) cross-section, containing by weight less than 0.25% of carbon",ผลิตภัณฑ์กึ่งสำเร็จรูป ทำด้วยเหล็กหรือเหล็กกล้าไม่เจือ มีภาคตัดขวางเป็นรูปสี่เหลี่ยมผืนผ้า (นอกจากสี่เหลี่ยมจัตุรัส) มีคาร์บอนน้อยกว่าร้อยละ 0.25 โดยน้ำหนัก,Other,อื่นๆ,Containing by weight more than 0.10% but not more than 0.18% of carbon                                                                                                                                                                                          ,มีคาร์บอนมากกว่าร้อยละ 0.10 แต่ไม่เกินร้อยละ 0.18 โดยน้ำหนัก                                                                                                                                                                                                  ,72:Iron and steel,72:เหล็กและเหล็กกล้า,7207:Semi-finished products of iron or non-alloy steel.,7207:ผลิตภัณฑ์กึ่งสำเร็จรูป ทำด้วยเหล็กหรือเหล็กกล้าไม่เจือ,"720712:Semi-finished products of iron or non-alloy steel, of rectangular (other than square) cross-section, containing by weight less than 0.25% of carbon",720712:ผลิตภัณฑ์กึ่งสำเร็จรูป ทำด้วยเหล็กหรือเหล็กกล้าไม่เจือ มีภาคตัดขวางเป็นรูปสี่เหลี่ยมผืนผ้า (นอกจากสี่เหลี่ยมจัตุรัส) มีคาร์บอนน้อยกว่าร้อยละ 0.25 โดยน้ำหนัก,72071290:Other,72071290:อื่นๆ,72071290030:Containing by weight more than 0.10% but not more than 0.18% of carbon                                                                                                                                                                                          ,72071290030:มีคาร์บอนมากกว่าร้อยละ 0.10 แต่ไม่เกินร้อยละ 0.18 โดยน้ำหนัก                                                                                                                                                                                                  
22803,02,0207,020714,02071499,02071499000,Other                                                                                                                                                                                                                                                           ,อื่น ๆ                                                                                                                                                                                                                                                        ,2022,Meat and edible meat offal,เนื้อสัตว์และส่วนอื่นของสัตว์ที่บริโภคได้,"Meat and edible offal, of the poultry of heading no. 01.05, fresh, chilled or frozen.",เนื้อและส่วนอื่นที่บริโภคได้ของสัตว์ปีกเลี้ยงตามประเภทที่ 01.05   สด แช่เย็น หรือแช่แข็ง,"Cuts and edible offal, of fowls of the species gallus domesticus, frozen",ชิ้นเนื้อและเครื่องในที่บริโภคได้ของไก่ชนิดแกลลัสโดเมสติกัส แช่แข็ง,Other                                                                                                                                                                                                                                                           ,อื่น ๆ                                                                                                                                                                                                                                                        ,Other                                                                                                                                                                                                                                                           ,อื่น ๆ                                                                                                                                                                                                                                                        ,02:Meat and edible meat offal,02:เนื้อสัตว์และส่วนอื่นของสัตว์ที่บริโภคได้,"0207:Meat and edible offal, of the poultry of heading no. 01.05, fresh, chilled or frozen.",0207:เนื้อและส่วนอื่นที่บริโภคได้ของสัตว์ปีกเลี้ยงตามประเภทที่ 01.05   สด แช่เย็น หรือแช่แข็ง,"020714:Cuts and edible offal, of fowls of the species gallus domesticus, frozen",020714:ชิ้นเนื้อและเครื่องในที่บริโภคได้ของไก่ชนิดแกลลัสโดเมสติกัส แช่แข็ง,02071499:Other                                                                                                                                                                                                                                                           ,02071499:อื่น ๆ                                                                                                                                                                                                                                                        ,02071499000:Other                                                                                                                                                                                                                                                           ,02071499000:อื่น ๆ                                                                                                                                                                                                                                                        
67058,84,8414,841459,84145992,84145992999,CKD                                                                                                                                                                                                                                                             ,ชิ้นส่วนครบชุดสมบูรณ์                                                                                                                                                                                                                                         ,2022,"Boiler nuclear reactors, machinery, mechanical appliances and parts thereof.",เครื่องปฏิกรณ์นิวเคลียร์ บอยเลอร์ เครื่องจักร เครื่องใช้กล และส่วนประกอบของเครื่องดังกล่าว,"Air or vacuum pumps, air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan, whether or not fitted with filters.",เครื่องสูบลมหรือสูบสูญญากาศ เครื่องอัดลมหรืออัดก๊าซอื่น ๆ และพัดลม  รวมทั้งเครื่องระบายอากาศหรือเครื่องหมุนเวียนอากาศที่มีพัดลมประกอบร่วมอยู่ด้วย จะมีตัวกรองติดอยู่ด้วยหรือไม่ก็ตาม,"Other fans (other than table, floor, wall, window, ceiling or roof fans, with a self-contained electric motor of an output not exceeding 125 w),  and ckd thereof",พัดลมอื่น ๆ (นอกจากพัดลมแบบตั้งโต๊ะ ตั้งพื้น ติดผนัง ติดหน้าต่าง ติดเพดานหรือติดหลังคา ที่มีมอเตอร์ไฟฟ้าในตัวซึ่งให้กำลังไม่เกิน 125 วัตต์) และชิ้นส่วนครบชุดสมบูรณ์ของของดังกล่าว,"Explosion-proof air fans, of a kind used in underground mining",พัดลมป้องกันการระเบิด ชนิดใช้ในเหมืองใต้ดิน,CKD                                                                                                                                                                                                                                                             ,ชิ้นส่วนครบชุดสมบูรณ์                                                                                                                                                                                                                                         ,"84:Boiler nuclear reactors, machinery, mechanical appliances and parts thereof.",84:เครื่องปฏิกรณ์นิวเคลียร์ บอยเลอร์ เครื่องจักร เครื่องใช้กล และส่วนประกอบของเครื่องดังกล่าว,"8414:Air or vacuum pumps, air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan, whether or not fitted with filters.",8414:เครื่องสูบลมหรือสูบสูญญากาศ เครื่องอัดลมหรืออัดก๊าซอื่น ๆ และพัดลม  รวมทั้งเครื่องระบายอากาศหรือเครื่องหมุนเวียนอากาศที่มีพัดลมประกอบร่วมอยู่ด้วย จะมีตัวกรองติดอยู่ด้วยหรือไม่ก็ตาม,"841459:Other fans (other than table, floor, wall, window, ceiling or roof fans, with a self-contained electric motor of an output not exceeding 125 w),  and ckd thereof",841459:พัดลมอื่น ๆ (นอกจากพัดลมแบบตั้งโต๊ะ ตั้งพื้น ติดผนัง ติดหน้าต่าง ติดเพดานหรือติดหลังคา ที่มีมอเตอร์ไฟฟ้าในตัวซึ่งให้กำลังไม่เกิน 125 วัตต์) และชิ้นส่วนครบชุดสมบูรณ์ของของดังกล่าว,"84145992:Explosion-proof air fans, of a kind used in underground mining",84145992:พัดลมป้องกันการระเบิด ชนิดใช้ในเหมืองใต้ดิน,84145992999:CKD                                                                                                                                                                                                                                                             ,84145992999:ชิ้นส่วนครบชุดสมบูรณ์                                                                                                                                                                                                                                         
24236,06,0602,060290,06029040,06029040000,Budded stumps of the genus Hevea                                                                                                                                                                                                                                ,ต้นตอตาของยางตระกูลฮีเวีย                                                                                                                                                                                                                                     ,2022,"Live tree and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",ต้นไม้และพืชอื่นๆ ที่มีชีวิต หัว ราก และสิ่งที่คล้ายกัน ดอกไม้และใบไม้ที่ใช้ประดับ,"Other live plants (including their roots), other than live plants of heading no. 06.01, cuttings and slips ; mushroom spawn.",พืชมีชีวิตอื่น ๆ รวมถึงราก (นอกจากพืชมีชีวิตตามประเภทที่ 06.01)  กิ่งชำ กิ่งตอน และส่าเห็ด,"Other live plants (including their roots) e.g. : orchid plant etc., (other than unrooted cutting, slips ; trees, shrubs, bushes, bearing edible fruit or nuts, rhododendrons and azaleas, roses, and live plants of heading no. 06.01) ; mushroom spawn",พืชมีชีวิตอื่น ๆ (รวมถึงราก) เช่น ต้นกล้วยไม้ เป็นต้น  (นอกจากกิ่งชำที่ไม่มีราก กิ่งตอน ไม้ต้น ไม้พุ่ม ไม้กอ ที่ให้ผลไม้หรือลูกนัตที่บริโภคได้ ต้นโรโดเดรนดรอน และ    อเซเลีย ต้นกุหลาบ และพืชมีชีวิตตามประเภทที่ 06.01)  รวม,Budded stumps of the genus Hevea                                                                                                                                                                                                                                ,ต้นตอตาของยางตระกูลฮีเวีย                                                                                                                                                                                                                                     ,Budded stumps of the genus Hevea                                                                                                                                                                                                                                ,ต้นตอตาของยางตระกูลฮีเวีย                                                                                                                                                                                                                                     ,"06:Live tree and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",06:ต้นไม้และพืชอื่นๆ ที่มีชีวิต หัว ราก และสิ่งที่คล้ายกัน ดอกไม้และใบไม้ที่ใช้ประดับ,"0602:Other live plants (including their roots), other than live plants of heading no. 06.01, cuttings and slips ; mushroom spawn.",0602:พืชมีชีวิตอื่น ๆ รวมถึงราก (นอกจากพืชมีชีวิตตามประเภทที่ 06.01)  กิ่งชำ กิ่งตอน และส่าเห็ด,"060290:Other live plants (including their roots) e.g. : orchid plant etc., (other than unrooted cutting, slips ; trees, shrubs, bushes, bearing edible fruit or nuts, rhododendrons and azaleas, roses, and live plants of heading no. 06.01) ; mushroom spawn",060290:พืชมีชีวิตอื่น ๆ (รวมถึงราก) เช่น ต้นกล้วยไม้ เป็นต้น  (นอกจากกิ่งชำที่ไม่มีราก กิ่งตอน ไม้ต้น ไม้พุ่ม ไม้กอ ที่ให้ผลไม้หรือลูกนัตที่บริโภคได้ ต้นโรโดเดรนดรอน และ    อเซเลีย ต้นกุหลาบ และพืชมีชีวิตตามประเภทที่ 06.01)  รวม,06029040:Budded stumps of the genus Hevea                                                                                                                                                                                                                                ,06029040:ต้นตอตาของยางตระกูลฮีเวีย                                                                                                                                                                                                                                     ,06029040000:Budded stumps of the genus Hevea                                                                                                                                                                                                                                ,06029040000:ต้นตอตาของยางตระกูลฮีเวีย                                                                                                                                                                                                                                     
68243,84,8419,841990,84199012,84199012000,"Parts of machinery for the treatment of materials by a process involving heating, for the manufacture of printed circuit boards, printed wiring boards or printed circuit assemblies                                                                            ",ส่วนประกอบของเครื่องจักรสำหรับใช้กระทำกับวัตถุโดยกรรมวิธีที่เกี่ยวข้องกับการทำให้ร้อน สำหรับการผลิตแผงวงจรพิมพ์ แผงการเดินสายแบบพิมพ์ หรือแผงวงจรไฟฟ้า (พีซีเอ)                                                                                               ,2022,"Boiler nuclear reactors, machinery, mechanical appliances and parts thereof.",เครื่องปฏิกรณ์นิวเคลียร์ บอยเลอร์ เครื่องจักร เครื่องใช้กล และส่วนประกอบของเครื่องดังกล่าว,"Machinery, plant or laboratory equipment, whether or not electrically heated (excluding furnaces, ovens and other equipment of heading 85.14), for the treatment of materials by a process involving a change of temperature such as heating, cooking, roasting,",เครื่องจักร เครื่องจักรโรงงาน หรือเครื่องอุปกรณ์ห้องปฏิบัติการ จะทำความร้อนด้วยไฟฟ้าหรือไม่ก็ตาม (ไม่รวมถึงเตาเผา เตาอบ และเครื่องอุปกรณ์อื่นตามประเภท 85.14) สำหรับใช้กระทำกับวัตถุโดยกรรมวิธีที่เกี่ยวข้องกับการเปลี่ยนอุณหภูมิ เช่น การทำให้ร้อน การทำให้สุก ,Parts,เครื่องจักร เครื่องจักรโรงงาน หรือเครื่องอุปกรณ์ห้องปฏิบัติการ- ส่วนประกอบ,"Parts of machinery for the treatment of materials by a process involving heating, for the manufacture of printed circuit boards, printed wiring boards or printed circuit assemblies                                                                            ",ส่วนประกอบของเครื่องจักรสำหรับใช้กระทำกับวัตถุโดยกรรมวิธีที่เกี่ยวข้องกับการทำให้ร้อน สำหรับการผลิตแผงวงจรพิมพ์ แผงการเดินสายแบบพิมพ์ หรือแผงวงจรไฟฟ้า (พีซีเอ)                                                                                               ,"Parts of machinery for the treatment of materials by a process involving heating, for the manufacture of printed circuit boards, printed wiring boards or printed circuit assemblies                                                                            ",ส่วนประกอบของเครื่องจักรสำหรับใช้กระทำกับวัตถุโดยกรรมวิธีที่เกี่ยวข้องกับการทำให้ร้อน สำหรับการผลิตแผงวงจรพิมพ์ แผงการเดินสายแบบพิมพ์ หรือแผงวงจรไฟฟ้า (พีซีเอ)                                                                                               ,"84:Boiler nuclear reactors, machinery, mechanical appliances and parts thereof.",84:เครื่องปฏิกรณ์นิวเคลียร์ บอยเลอร์ เครื่องจักร เครื่องใช้กล และส่วนประกอบของเครื่องดังกล่าว,"8419:Machinery, plant or laboratory equipment, whether or not electrically heated (excluding furnaces, ovens and other equipment of heading 85.14), for the treatment of materials by a process involving a change of temperature such as heating, cooking, roasting,",8419:เครื่องจักร เครื่องจักรโรงงาน หรือเครื่องอุปกรณ์ห้องปฏิบัติการ จะทำความร้อนด้วยไฟฟ้าหรือไม่ก็ตาม (ไม่รวมถึงเตาเผา เตาอบ และเครื่องอุปกรณ์อื่นตามประเภท 85.14) สำหรับใช้กระทำกับวัตถุโดยกรรมวิธีที่เกี่ยวข้องกับการเปลี่ยนอุณหภูมิ เช่น การทำให้ร้อน การทำให้สุก ,841990:Parts,841990:เครื่องจักร เครื่องจักรโรงงาน หรือเครื่องอุปกรณ์ห้องปฏิบัติการ- ส่วนประกอบ,"84199012:Parts of machinery for the treatment of materials by a process involving heating, for the manufacture of printed circuit boards, printed wiring boards or printed circuit assemblies                                                                            ",84199012:ส่วนประกอบของเครื่องจักรสำหรับใช้กระทำกับวัตถุโดยกรรมวิธีที่เกี่ยวข้องกับการทำให้ร้อน สำหรับการผลิตแผงวงจรพิมพ์ แผงการเดินสายแบบพิมพ์ หรือแผงวงจรไฟฟ้า (พีซีเอ)                                                                                               ,"84199012000:Parts of machinery for the treatment of materials by a process involving heating, for the manufacture of printed circuit boards, printed wiring boards or printed circuit assemblies                                                                            ",84199012000:ส่วนประกอบของเครื่องจักรสำหรับใช้กระทำกับวัตถุโดยกรรมวิธีที่เกี่ยวข้องกับการทำให้ร้อน สำหรับการผลิตแผงวงจรพิมพ์ แผงการเดินสายแบบพิมพ์ หรือแผงวงจรไฟฟ้า (พีซีเอ)                                                                                               
